Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
Basking Rootwalla,{G},1,Creature — Lizard,G,madness; GW tokens,Madness 1-drop beater; pump,odysseyblock,1265,,,,,,,"Free madness body, self-pumping early beater"
Diligent Farmhand,{G},1,Creature — Human Druid,G,RG ramp; BG sac,Sac-ramp dork; BG fodder,odysseyblock,1285,,,,,,,Sac for land; sac fodder too
Nantuko Tracer,{1}{G},2,Creature — Insect Druid,G,UG graveyard tech,GY-order ETB; anti-threshold,odysseyblock,1122,,,,,,,Bottoms a graveyard card on ETB
Seton's Scout,{1}{G},2,Creature — Centaur Druid Scout Archer,G,threshold; stall-breaker,Threshold reach blocker/beater,odysseyblock,1149,,,,,,,"Reach 2/1, 4/3 at threshold"
Werebear,{1}{G},2,Creature — Human Bear Druid,G,RG ramp; threshold,Mana dork + threshold beater,odysseyblock,1376,,,,,,,"Ramps early, 4/4 at threshold"
Wild Mongrel,{1}{G},2,Creature — Dog,G,madness; GY engine,Discard outlet + madness enabler,odysseyblock,1331,,,,,,,Key discard outlet; pumps and recolors
Anurid Swarmsnapper,{2}{G},3,Creature — Frog Beast,G,defense; stall-breaker,Reach multi-blocker; stall wall,odysseyblock,1102,,,,,,,"Reach, blocks extra creatures each turn"
Cartographer,{2}{G},3,Creature — Human,G,RG ramp; value,Land recursion body,odysseyblock,1214,,,,,,,Returns a land from graveyard
Chlorophant,{G}{G}{G},3,Creature — Elemental,G,UG counters/proliferate,Counter grower; proliferate target,odysseyblock,1187,,,,,,,"Grows each upkeep, faster at threshold"
Krosan Avenger,{2}{G},3,Creature — Human Druid,G,threshold; stall-breaker,Threshold trampler; regenerator,odysseyblock,1087,,,,,,,"3/1 trample, regenerates at threshold"
Squirrel Mob,{1}{G}{G},3,Creature — Squirrel,G,GW tokens,Squirrel anthem body,odysseyblock,1212,,,,,,,Scales with the squirrel token flood
Centaur Chieftain,{3}{G},4,Creature — Centaur,G,GW tokens; go-wide,Threshold mini-overrun ETB,odysseyblock,1193,,,,,,,Haste; threshold ETB team pump+trample
Nantuko Calmer,{2}{G}{G},4,Creature — Insect Druid,G,interaction; threshold,Enchantment removal on a body,odysseyblock,1117,,,,,,,Sac to kill an enchantment; threshold grow
Quarry Hauler,{3}{G},4,Creature — Camel,G,UG counters/proliferate,ETB counter doubler/mover,exception,,,,,,Y,,Exception: doubles counters; feeds counter theme
Squirrel Wrangler,{2}{G}{G},4,Creature — Human Druid,G,GW tokens; Opposition,Land→squirrels flood + anthem,exception,,,,,,Y,,Exception: Opposition token flood from lands
Zoologist,{3}{G},4,Creature — Human Druid,G,midrange value,Creature-cheat engine body,odysseyblock,1190,,,,,,,Slow top-of-library creature cheat
Arrogant Wurm,{3}{G}{G},5,Creature — Wurm,G,madness,Madness fatty payoff,odysseyblock,1252,,,,,,,Discard off Mongrel for cheap 4/4 trample
Gorilla Titan,{3}{G}{G},5,Creature — Ape,G,anti-graveyard; stall-breaker,Empty-graveyard beater,odysseyblock,1200,,,,,,,8/8 trample with empty graveyard
Rabid Elephant,{4}{G},5,Creature — Elephant,G,stall-breaker,Combat-math stall-breaker,odysseyblock,1174,,,,,,,Punishes multi-blocking; pushes stalls
Giant Warthog,{5}{G},6,Creature — Boar Beast,G,stall-breaker,Vanilla trample stall-breaker,odysseyblock,1087,,,,,,,Plain 5/5 trample to break ground stalls
Nut Collector,{5}{G},6,Creature — Human Druid,G,GW tokens; Opposition,Squirrel engine + threshold lord,odysseyblock,1228,,,,,,,Upkeep squirrels; +2/+2 lord at threshold
"Thriss, Nantuko Primus",{5}{G}{G},7,Legendary Creature — Insect Druid,G,top-end; combat,Repeatable pump top-end,odysseyblock,1188,,,,,,,+5/+5 each turn; slow finisher
Krosan Reclamation,{1}{G},2,Instant,G,UG graveyard tech,GY shuffle tech; flashback,any-era,,,,,,,,"Anti-threshold/anti-mill, repeatable"
Moment's Peace,{1}{G},2,Instant,G,defense; control,Repeatable fog (flashback),any-era,,,,,,,,Buys time for ramp/token plans
Elephant Ambush,{2}{G}{G},4,Instant,G,GW tokens; defense,Flashback token at instant speed,any-era,,,,,,,,"3/3 elephant twice, ambush blocker"
Chatter of the Squirrel,{G},1,Sorcery,G,GW tokens; Opposition,Cheap flashback token,any-era,,,,,,,,Two squirrels across two casts
Rampant Growth,{1}{G},2,Sorcery,G,RG ramp,Basic-land ramp,any-era,,,,,,,,Classic slow ramp and fixing
Call of the Herd,{2}{G},3,Sorcery,G,GW tokens; value,Flashback elephant token,any-era,,,,,,,,Two 3/3 elephants from one card
Acorn Harvest,{3}{G},4,Sorcery,G,GW tokens; BG sac,Flashback squirrel flood; BG fodder,any-era,,,,,,,,Four squirrels total; sac fodder
Grizzly Fate,{3}{G}{G},5,Sorcery,G,GW tokens; threshold,Threshold + flashback bear tokens,any-era,,,,,,,,Scales with threshold and flashback
Roar of the Wurm,{6}{G},7,Sorcery,G,RG ramp; tokens,Flashback fatty payoff,any-era,,,,,,,,6/6 wurm twice; ramp payoff
Carpet of Flowers,{G},1,Enchantment,G,RG ramp; anti-blue,Anti-blue ramp / big-mana,any-era,1312,,,,,,,Floods mana vs Island decks
Utopia Sprawl,{G},1,Enchantment — Aura,G,RG ramp; fixing,Forest ramp + fixing,any-era,,,,,,,,Ramps and fixes off a Forest
Wild Growth,{G},1,Enchantment — Aura,G,RG ramp,Land ramp aura,any-era,,,,,,,,Cheap ramp toward Helix and fatties
Druid's Call,{1}{G},2,Enchantment — Aura,G,GW tokens; defense,Damage→squirrels build-around,any-era,,,,,,,,Turns incoming damage into a token wall
Nantuko Shrine,{1}{G}{G},3,Enchantment,G,GW tokens; flashback synergy,Same-name squirrel build-around,any-era,,,,,,,,Flashback recasts net squirrels; decision-dense
Squirrel Nest,{1}{G}{G},3,Enchantment — Aura,G,GW tokens; Opposition,Token engine for Opposition,any-era,,,,,,,,Land taps for a squirrel each turn
Saproling Burst,{4}{G},5,Enchantment,G,GW tokens; UG proliferate,Fading token engine; proliferate,any-era,1348,,,,,,,Fade counters make scaling saprolings
Travel Preparations,{1}{G},2,Sorcery,G,UG counters; GW,Counters + W flashback bridge,any-era,,,,,,,,Four +1/+1 counters across two casts
Possessed Centaur,{2}{G}{G},4,Creature — Centaur Horror,G,BG; threshold,Threshold beater; BG bridge,odysseyblock,1184,,,,,,,"Turns black at threshold, kills green"
