name	cost	mv	type	colors	cube_color	section	colorshift	role	in_block	elo	edh	dead	strong	errata	oob	sets	archetypes	note
Opalescence	{2}{W}{W}	4	Enchantment	W	W/U	Azorius WU	W/U	Colorshift>UW; animation engine, half of Opalescence+Humility lock	Out-exception	1313	12838	0	0	0	0	UDS, WC00		Locked colorshift>UW. With Humility every creature 0/0 = board lock
Azor's Elocutors	{3}{W/U}{W/U}	5	Creature — Human Advisor	W, U	W/U	Azorius WU		WU counter alt-win (filibuster → 5 = win); interactive defensive	Out-exception	1174	8282	0	0	0	1	RTR	counter alt-win;lifegain/defensive;proliferate	Out-exception creature: only-in-block wincon for the WU/cleric pillow shell
Enchanted Evening	{3}{W/U}{W/U}	5	Enchantment	W, U	W/U	Azorius WU		Turns all permanents into enchantments; enables Opalescence/Replenish sweep	Out-exception	1127	7932	0	0	1	0	PLST, SHM, SLD		Errata'd ETB mill3+return enchantment. Opalescence = symmetric Armageddon
Teferi's Moat	{3}{W}{U}	5	Enchantment	W, U	W/U	Azorius WU		Color-locked ground stax; on-color gold pillowfort	Out-exception	1276	18433	0	0	0	0	INV, TSB		WU gold pillowfort; shuts a color out of combat. Counts toward Azorius
Dovescape	{3}{W/U}{W/U}{W/U}	6	Enchantment	W, U	W/U	Azorius WU		Noncreature-spell soft-lock making symmetric 1/1 bird wall	Out-exception	1165	11860	0	0	0	0	DIS, GK2, SLD		WU gold; ties into Birds tribal. Symmetric lock — wild build-around
Astral Cornucopia	{X}{X}{X}	0	Artifact		C	Colorless		Charge-counter mana rock (big-red X sink + proliferate target)	N/A	1289	1339	0	0	0	0	BNG, BRR, C16, CM2, EOC, SOC	big-red mana sink;charge counters;proliferate	Pay XXX to bank charge counters; proliferate grows the rock; slow ramp
Lion's Eye Diamond	{0}	0	Artifact		C	Colorless		ritual + discard enabler (tutor combo)	N/A	1610	724	0	0	0	0	MIR, PRM, VMA	gy-storm;storm	Discard hand for 3; enables Infernal Tutor hellbent. ELO 1611 but fragile/blank-ish
Codex Shredder	{1}	1	Artifact		C	Colorless		Lantern win: repeatable mill plus late-game card return.	N/A	1251	2364	0	0	0	0	CMR, PLST, RTR, SLD		Already mills 1/turn solo; the lantern-deck primary clock.
Cursed Scroll	{1}	1	Artifact		C	Colorless		hellbent win-con (repeatable burn)	N/A	1437	26338	0	0	0	0	OLEP, TMP, TPR, VMA, WC98, WC99	hellbent;prison	Empty/1-card hand = reliable 2 dmg; classic hellbent finisher
Expedition Map	{1}	1	Artifact		C	Colorless		Land tutor; fetches utility lands for lock plans.	N/A	1381	446	0	0	0	0	2XM, FDN, J22, LCC, M3C, MM2, PLST, PRM, SLD, ZEN		Fetches Glacial Chasm/Tabernacle utility lands; enables prison toolbox.
