Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
"Winter Orb",{2},2,Artifact,C,prison,"Mana-denial stax: one land untaps/turn",any-era,1397,"","","","","","","Core colorless mana-denial; glues slow shells"
"Static Orb",{3},3,Artifact,C,prison,"Harder Winter Orb; only two untaps total",any-era,1242,"","","","","","","Stronger stasis; rewards low-permanent prison"
"Storage Matrix",{3},3,Artifact,C,prison,"Untap-type restriction lock; decision-rich",any-era,1155,"","","","","","","Decision-intensive untap lock; very on-philosophy"
"Sphere of Resistance",{2},2,Artifact,C,prison,"Symmetric spell tax; slows whole table",any-era,1389,"","","","","","","Cheap symmetric tax; prison glue, low power"
Crawlspace,{3},3,Artifact,C,prison,"Caps attackers to two; buys time",any-era,1323,"","","","","","","Pure defense for slow lock/alt-win shells"
"Tsabo's Web",{2},2,Artifact,C,prison,"Cantrip soft-lock on utility/man-lands",any-era,1243,"","","","","","","Replaces itself; never a dead draw"
"Cursed Totem",{2},2,Artifact,C,prison,"Shuts off creature activated abilities",any-era,1174,"","","","","","","Sideways prison; stops Opposition-style tappers"
"Damping Sphere",{2},2,Artifact,C,prison,"Anti-ramp/anti-storm tax speed-bump",any-era,1207,"","","","","","","Caps big-mana lands and storm; honest"
"Defense Grid",{2},2,Artifact,C,honest-combo,"Taxes opp interaction; shields combo turn",any-era,1287,"","","","","","","Asymmetric tax protecting honest-combo turns"
"Possessed Portal",{8},8,Artifact,C,prison,"Top-end hard lock: stops draws, grinds board",any-era,1140,"","","","","","","Fragile 8-mana payoff lock; expensive = fair"
"Darksteel Reactor",{4},4,Artifact,C,counter-altwin,"Counter alt-win: 20 charge = win; proliferate payoff",any-era,1166,Y,"","",Y,"","Enters with 3 charge counters; whenever you proliferate, put an extra charge counter on it","Errata to tie to proliferate; cleanest count-to-20"
"Contagion Clasp",{2},2,Artifact,C,counter-altwin,"Proliferate + repeatable counter accelerant",any-era,1195,"","","","","","","ETB shrink, then repeatable proliferate; cheap"
"Contagion Engine",{6},6,Artifact,C,counter-altwin,"Double-proliferate engine; counter top-end",any-era,1254,"","","","","","","Jumps alt-win counters and Tangle Wire fades fast"
"Throne of Geth",{2},2,Artifact,C,counter-altwin,"One-shot proliferate via artifact sac",any-era,1201,"","","","","","","Cheap proliferate burst for alt-win/fade counters"
"Spawning Pit",{2},2,Artifact,C,counter-altwin,"Charge-counter sac engine; proliferate target",any-era,1268,"","","","","","","Banks sacs as counters; proliferate doubles tokens"
