"Name","FromColor","Reason"
"Silver Seraph","W","WWW 8-drop anthem; too top-heavy, redundant with Valor/Blessed Orator"
"Aven Cloudchaser","W","Fine Bird + ETB Disenchant but overlaps Seal/Aura/Auramancer enchant-hate"
"Border Patrol","W","1/6 wall-on-legs; Blessed Orator/Mystic Zealot cover the stall slot"
"Graceful Antelope","W","Land-to-Plains screw evasion; off-theme, mana-denial not wanted"
"Resilient Wanderer","W","Discard outlet body; Patrol Hound is the cheaper outlet pick"
"Mystic Crusader","W","Strong threshold flier but pushes power; kept curve lower"
"Pulsemage Advocate","W","Self-reanimator donates cards back; grindy, off mono-W plan"
"Reborn Hero","W","ONS-era Soldier recursion; weak and Soldier-flood not buildable"
"Possessed Centaur slot / Wayward kept","W","Other 'is black' horrors redundant; one stall-breaker is enough"
"Opalescence","W/U","Locked colorshift>U/W; lives in the UW worksheet, not mono-W"
"Opening / Open the Vaults","W","Symmetric Replenish downside; Replenish + Starfield already cover it"
"Sterling Grove-style / Greater Auramancy","W","Lock-shroud protection redundant; Karmic Justice covers deterrence"
"Idyllic Tutor","W","Slower to-hand enchant tutor; chose Enlightened Tutor (cheaper, lower power)"
"Propaganda","U","Pillowfort pick lost to Ghostly Prison; Propaganda is blue anyway"
"Arcane Laboratory","U","Spell-lock pick lost to Rule of Law; Arcane Lab is blue anyway"
"Battle of Wits","U","Brief said flag dead+errata but it is blue (cube_color=U); off-color here"
"Parallax Tide","U","Grouped with Parallax Wave but it is blue land-lock; belongs to U worksheet"
"Axis of Mortality","W","Repeated total-swap borderline value engine; slow, political, scrutiny"
"Beacon of Immortality","W","One-shot life double; lethal only with Sanguine Bond, off mono-W"
"Boon Reflection","W","Lifegain doubler, weak alone; not enough payoff density in mono-W"
"Soul Echo","W","Fragile counter life-shield; Transcendence/Near-Death cover the axis"
"Phyrexian Unlife","W","0-life buffer for Ad Nauseam line; that combo lives in a multicolor shell"
"Angel's Grace","W","Ad Nauseam protector; no Ad Nauseam package in this mono-W slice"
"Children of Korlis","W","Life-recovery for Mirror/Ad Nauseam; out-of-block, no shell here"
"Dawn of a New Age","W","Hope-counter draw engine; weaker than Mesa Enchantress for the draw slot"
"Delaying Shield","W","Damage-to-counter buffer; Story Circle/Solitary Confinement stronger locks"
"Force Bubble","W","Depletion-counter fog wall; redundant with damage-prevention suite"
"Celestial Dawn","W","Lands-to-Plains fixer; anti-synergy, no fixing need in mono-W"
"Suppression-overlap / Aura of Silence kept","W","Other Disenchant-tax pieces redundant once Seal+Aura+Auramancer present"
"Cephalid Illusionist","U","Named in brief but not in odysseyblock pool (Judgment); creature-locked out."
"Mind Over Matter","U","too_strong: untap-at-will + draw = board-camping infinite engine."
"Time Spiral","U","too_strong: free 7-card refill + untap 6; format-warping value engine."
"Palinchron","U","too_strong: self-bounce + untap 7 loops to infinite mana; also out of pool."
"Braingeyser","U","Redundant big-X draw; one-X-draw rule kept Stroke of Genius."
"Blue Sun's Zenith","U","Redundant recurring big-X draw; one-X-draw rule."
"Gitaxian Probe","U","Highest-elo pure 0-mana cantrip; cut to hold the low-power line."
"Prosperity","U","Symmetric big draw helps opp; redundant with Stroke as payoff."
"Words of Wisdom","U","Draws opponent a card; marginal storm padder."
"Whispers of the Muse","U","Redundant buyback cantrip vs Mystic Speculation."
"Reality Spasm","U","Redundant scalable untap vs Reset/Turnabout."
"Unwind","U","Redundant free counter vs Rewind."
"Windfall","U","Off-colour wheel; lives on UB/UR hand-punisher sheet."
"Tolarian Winds","U","Off-colour discard wheel; UB/UR Ensnaring Bridge support."
"Compulsion","U","Redundant filtering; leans UW Replenish enabler."
"Hatching Plans","U","Draw-3-when-destroyed; UW Replenish/sac glue."
"Attunement","U","Premier Replenish bulk-mill enabler; UW enchantress."
"Seal of Removal","U","Cheap bounce enchantment; UW Replenish glue."
"Arcane Laboratory","U","One-spell-per-turn lock; counterproductive in a storm-lite shell."
"Collective Restraint","U","Redundant domain pillowfort vs Propaganda/Back to Basics."
"Web of Inertia","U","Redundant GY-taxing pillowfort."
"Rising Waters","U","Redundant stax-lite prison vs Back to Basics."
"Phantasmal Terrain","U","Redundant type-changer aura; lowest-elo Islands option."
"Lingering Mirage","U","Redundant Islands aura (cycling) vs Spreading Seas."
"Forced Fruition","U","Board-camping cast-punisher; lives better in UB Vise shell."
"Psychic Corrosion","U","Redundant mill-on-draw payoff vs Sphinx's Tutelage."
"Battle of Wits","U","Honest alt-win but needs a 200-card deck; undraftable in singleton cube."
"Parallax Tide","U","Fading land-lock; lives on UG/Simic fading sheet (cross-ref Tangle Wire)."
"Sunken City","U","Creature-anthem with upkeep, errata-flagged; off-theme for combo shell."
"Patron Wizard","U","Out of pool; flagged dead in master (needs Wizard board)."
"Harbinger of the Seas","U","Out of pool; strong Islands-lock body but creature-locked out."
"Tidal Warrior","U","Out of pool; repeatable Island-maker body not allowed as creature."
"Hapless Researcher","U","Out of pool; looter body not in odysseyblock list."
"Imagecrafter","U","Out of pool; type-changer Wizard not allowed."
"Information Dealer","U","Out of pool; scry Wizard not in list."
"Escape Artist","U","Out of pool; unblockable Wizard not allowed."
"Aphetto Alchemist","U","Out of pool; untapper Wizard (Onslaught), creature-locked out."
"Voidmage Prodigy","U","Out of pool; counter-Wizard not in list."
"Riptide Entrancer","U","Out of pool; steal-on-damage Wizard not allowed."
"Riptide Director","U","Out of pool; Wizard draw-engine not in list."
"Riptide Mangler","U","Out of pool; defensive Beast not allowed."
"Riptide Shapeshifter","U","Out of pool; tutor-a-creature body not in list."
"Rummaging Wizard","U","Out of pool; impulse-loot Wizard not allowed."
"Aphetto Runecaster","U","Out of pool; morph-draw Wizard not in list."
"Disruptive Pitmage","U","Out of pool; tax-Wizard not allowed."
"Callous Oppressor","U","Out of pool; steal-creature Octopus not in list."
"Cephalid Inkshrouder","U","Out of pool; shroud-granting Octopus not allowed."
"Cephalid Aristocrat","U","Out of pool; discard-pump Octopus not in list."
"Shifty Doppelganger","U","Out of pool; reanimator Shapeshifter not allowed."
"Ascending Aven","U","Out of pool; morph flyer (Onslaught) not in list."
"Mistform Seaswift","U","Out of pool; type-changing flyer not allowed."
"Nameless One","U","Out of pool; Wizard-count beater not in list."
"Dreamwinder","U","Out of pool; sac-Island Serpent not allowed."
"Wonder","U","Out of pool; graveyard Islands-flying payoff, creature-locked out."
"Wormfang Crab","U","Out of pool; defensive Nightmare not in list."
"Pulsating Illusion","U","Out of pool; pitch-to-pump Illusion not allowed."
"Shoreline Ranger","U","Out of pool; Islandcycling flyer not in list."
"Slipstream Eel","U","Out of pool; Islands-matters Fish not allowed."
"Cognivore","U","Out of pool; instant-count Lhurgoyf not in list."
"Cloud of Faeries","U","Out of pool; free-spell Faerie not allowed."
"Peregrine Drake","U","Out of pool; untap-5-lands free-mana body, creature-locked out."
"Great Whale","U","Out of pool; untap-7-lands top-end body not in list."
"Rotlung Reanimator","B","Wanted aristocrats token engine but not in curated odysseyblock_creatures.tsv pool (ONS-block)"
"Cabal Archon","B","Wanted sac-drain Cleric outlet but not in curated pool (ONS-block)"
"Cabal Torturer","B","Wanted -1/-1 plague pinger but not in curated pool"
"Putrid Imp","B","Wanted repeatable discard outlet but not in curated pool"
"Zombie Cannibal","B","Wanted cheap Zombie GY-hate but not in curated pool"
"Consumptive Goo","B","Wanted growing -1/-1 plague but not in curated pool"
"Yawgmoth's Will","B","too_strong: one-shot graveyard replay, judge-level power, breaks low-power floor"
"Necropotence","B","too_strong: board-camping card-advantage engine (flag #16)"
"Phyrexian Arena","B","too_strong: passive board-camping value engine; honest life-resource staple but too strong"
"Ad Nauseam","B","Centerpiece of dedicated UB Ad Nauseam combo worksheet, not mono-B prison/storm"
"Dark Petition","B","Tutor that refunds mana; belongs to UB Ad Nauseam combo core"
"Bitter Ordeal","B","Gravestorm kill needs a dedicated sac engine; marginal in this shell"
"Lich","B","4xB, extremely fragile life-as-resource build-around; too narrow"
"Dark Prophecy","B","Aristocrats pay-life draw; better home in BG sac worksheet"
"Waste Not","B","Wheel/discard payoff engine; better in dedicated BR wheel shell"
"Megrim","B","Discard-damage punisher; redundant with Liliana's Caress, marginal"
"Liliana's Caress","B","Discard life-loss punisher; redundant with hand-punisher package"
"Faith of the Devoted","B","Cycle/discard drain engine; needs heavy cycling shell"
"Necrogen Mists","B","Symmetric per-upkeep discard; better in dedicated discard worksheet"
"Bottomless Pit","B","Symmetric random discard; overlaps Necrogen Mists, marginal"
"Smallpox","B","Symmetric resource denial; stax piece, better in BG/BR control"
"Underworld Dreams","B","Draw punisher colorshift B; better in a draw-hate slot"
"Wheel of Torture","B","Redundant hand-punisher; package already full with six pieces"
"Viseling","B","Iron Maiden on a body; out-of-block + redundant punisher"
"Wound Reflection","B","Life-loss doubler; drain amplifier better in WB life worksheet"
"Sanguine Bond","B","Lifegain-to-drain payoff; belongs in WB Cleric lifegain shell"
"Sign in Blood","B","Solid life-cost draw but slot pressure; Greed/Dark Tutelage cover draw"
"Night's Whisper","B","Efficient life-cost draw; cut for slot, redundant with Sign in Blood"
"Profane Tutor","B","Slow suspend tutor; Infernal/Tainted/Consultation already cover tutoring"
"Tendrils of Corruption","B","Swamp-count removal+lifegain; better in WB life or BG midrange"
"Cabal Pit","B","Threshold removal land; manabase layer, not a mono-B spell slot"
"Dakmor Salvage","B","Dredge land; manabase/self-mill layer, not a spell slot"
"Polluted Mire","B","Cycling land; manabase layer, discard/cycle synergy elsewhere"
"Underworld Connections","B","Pay-life draw aura flagged dead; redundant with Greed/Dark Tutelage"
"Spoils of the Vault","B","Included; listed here only as duplicate-guard — keep in cube"
"Mirror March","R","too_strong: modern wording is a token-copy engine, not a spent payoff (source strong=1)"
"Underworld Breach","R","too_strong: board-camping recursion engine, violates spec #16 (source strong=1)"
"Crazed Firecat","R","Named in brief but NOT in curated odysseyblock pool (only broader block_creatures); HARD RULE forbids"
