Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
"Cephalid Vandal",{1}{U},2,"Creature — Octopus Rogue",U,"UB deck-out / threshold","self-mill engine",odysseyblock,1124,"","","","","","","Shred counters snowball self-mill toward Lab Maniac."
"Cephalid Looter",{2}{U},3,"Creature — Octopus Rogue",U,"UB deck-out / threshold","loot / fill yard",odysseyblock,1280,"","","","","","","Repeatable loot digs combo, fuels threshold."
"Cephalid Broker",{3}{U},4,"Creature — Octopus",U,"UB deck-out / threshold","loot two / fill yard",odysseyblock,1201,"","","","","","","Double-loot body, big graveyard filler."
"Cephalid Sage",{3}{U},4,"Creature — Octopus",U,"UB deck-out / threshold","threshold card draw",odysseyblock,1168,"","","","","","","Threshold ETB draws three; rewards self-mill."
"Cephalid Scout",{1}{U},2,"Creature — Octopus Wizard Scout",U,"UB control / High Tide","evasive sac-draw",odysseyblock,1118,"","","","","","","Flyer that sacs lands for cards."
"Ambassador Laquatus",{1}{U}{U},3,"Legendary Creature — Merfolk Wizard",U,"UB mill-out","repeatable mill",odysseyblock,1244,"","","","","","","Mana-sink mill; decks opponent or self."
Scalpelexis,{4}{U},5,"Creature — Beast",U,"UB mill-out","evasive mill",odysseyblock,1196,"","","","","","","Flying mill-on-damage; cascading exile clock."
"Aboshan, Cephalid Emperor",{4}{U}{U},6,"Legendary Creature — Octopus Noble",U,"GW/UG Opposition-lite tempo","tap-down lord",odysseyblock,1135,"","","","","","","Octopus payoff; taps permanents, mass tap-down."
Puppeteer,{2}{U},3,"Creature — Human Wizard",U,"UG tempo / High Tide","tap/untap utility",odysseyblock,1177,"","","","","","","Wizard taps or untaps; ritual/blocker tricks."
"Aven Fisher",{3}{U},4,"Creature — Bird Soldier",U,"UB control","evasive value body",odysseyblock,1158,"","","","","","","Flyer replaces itself on death."
"Aven Windreader",{3}{U}{U},5,"Creature — Bird Soldier Wizard",U,"UB control / mill","evasive fatesealer",odysseyblock,1120,"","","","","","","Flyer with top-card reveal info engine."
"Skywing Aven",{2}{U},3,"Creature — Bird Soldier",U,"UR/UB madness-tempo","evasive tempo flyer",odysseyblock,1105,"","","","","","","Discard-to-bounce flyer enables madness/recast."
"Balshan Griffin",{3}{U}{U},5,"Creature — Griffin",U,"UR/UB madness-tempo","evasive discard-outlet",odysseyblock,1164,"","","","","","","Self-bounce flyer; repeatable discard outlet."
Amugaba,{5}{U}{U},7,"Creature — Illusion",U,"UB control finisher","resilient top-end flyer",odysseyblock,1127,"","","","","","","6/6 flyer self-bounces to dodge removal."
"Balshan Collaborator",{3}{U},4,"Creature — Bird Soldier",U,"UB tempo","evasive beater",odysseyblock,1138,"","","","","","","Flyer with black pump; splash payoff."
Scrivener,{4}{U},5,"Creature — Human Wizard",U,"UR spells / High Tide","instant recursion",odysseyblock,1159,"","","","","","","ETB returns an instant; rebuy High Tide/Snap."
"Wormfang Drake",{2}{U},3,"Creature — Nightmare Drake",U,"UB control tricks","flicker/blink body",odysseyblock,1178,"","","","","","","3/4 flyer exiles a creature; ETB re-use jank."
"Possessed Aven",{2}{U}{U},4,"Creature — Bird Soldier Horror",U,"UB threshold","threshold evasive removal",odysseyblock,1155,"","","","","","","Threshold grows it, adds blue-kill activation."
"Thought Eater",{1}{U},2,"Creature — Beast",U,"UR/UB hand-punisher","cheap evasive flyer",odysseyblock,1187,"","","","","","","2/2 flyer; reduced hand size aids Bridge/Vise."
"Mirror Wall",{3}{U},4,"Creature — Wall",U,"UB/UW control wall","stall-breaking blocker",odysseyblock,1134,"","","","","","","3/4 wall; can swing with white mana."
"Laboratory Maniac",{2}{U},3,"Creature — Human Wizard",U,"UB Ad Nauseam / deck-out","deck-out win condition",exception,1304,"","","","",Y,"","EXCEPTION: draw-from-empty win; never Thassa's Oracle."
"High Tide",{U},1,Instant,U,"High Tide prison","ritual / archetype namesake",any-era,1366,"","","","","","","Doubles Island mana; engine of the prison deck."
"Frantic Search",{2}{U},3,Instant,U,"High Tide prison","free loot / storm padder",any-era,1445,"","","","","","","Net-zero loot under High Tide; storm count."
Snap,{1}{U},2,Instant,U,"High Tide prison / UR tempo","free bounce tempo",any-era,1379,"","","","","","","Free bounce, untaps two lands; storm padder."
Turnabout,{2}{U}{U},4,Instant,U,"High Tide prison","mana burst / tap-down",any-era,1355,"","","","","","","Untap all lands for huge mana, or tap-lock."
Reset,{U}{U},2,Instant,U,"High Tide prison","untap-all ritual",any-era,1186,"","","","","","","Untap all lands on opp turn; High Tide burst."
Capsize,{1}{U}{U},3,Instant,U,"High Tide / UR grind","buyback bounce soft-lock",any-era,1360,"","","","","","","Buyback bounce; grindy land-lock and storm fuel."
"Stroke of Genius",{X}{2}{U},3,Instant,U,"High Tide payoff / mill","big-X draw payoff",any-era,1318,"","","","","","","The X-draw payoff; draw huge or deck opponent."
"Spreading Seas",{1}{U},2,"Enchantment — Aura",U,"Islands prison","Islands-maker cantrip",any-era,1217,"","","","","","","Best Islands enabler; replaces itself."
"Sea's Claim",{U},1,"Enchantment — Aura",U,"Islands prison","Islands-maker / denial",any-era,1140,"","","","","","","One-mana Island-maker; own-ramp or denial."
"Convincing Mirage",{1}{U},2,"Enchantment — Aura",U,"Islands prison","flexible type-changer",any-era,1112,"","","","","","","Choose-a-type denial or Island for High Tide."
"Aquitect's Will",{U},1,"Kindred Sorcery — Merfolk",U,"Islands prison","flood-counter Islands-maker",any-era,1092,"","","","","","","Cheap repeatable Island vector; cantrips w/ Merfolk."
