name	mana_cost	mv	colors	type	subtypes	power	toughness	printings	elo	edh	text
Millikin	{2}	2		Artifact Creature — Construct	Construct	0	1	DMR, EMA, FIC, MH2, ODY, PLST, SOC, TDC	1211	1244	{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)
Millikin	{2}	2		Artifact Creature — Construct	Construct	0	1	DMR, EMA, FIC, MH2, ODY, PLST, SOC, TDC	1211	1244	{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)
Cabal Trainee	{B}	1	B	Creature — Human Minion	Human, Minion	1	1	JUD	1201	27713	Sacrifice this creature: Target creature gets -2/-0 until end of turn.
Cabal Trainee	{B}	1	B	Creature — Human Minion	Human, Minion	1	1	JUD	1201	27713	Sacrifice this creature: Target creature gets -2/-0 until end of turn.
Cabal Trainee	{B}	1	B	Creature — Human Minion	Human, Minion	1	1	JUD	1201	27713	Sacrifice this creature: Target creature gets -2/-0 until end of turn.
Carrion Rats	{B}	1	B	Creature — Rat	Rat	2	1	PHUK, PSAL, TOR	1115	20816	Whenever this creature attacks or blocks, any player may exile a card from their graveyard. If a player does, this creature assigns no combat damage this turn.
Carrion Rats	{B}	1	B	Creature — Rat	Rat	2	1	PHUK, PSAL, TOR	1115	20816	Whenever this creature attacks or blocks, any player may exile a card from their graveyard. If a player does, this creature assigns no combat damage this turn.
Carrion Rats	{B}	1	B	Creature — Rat	Rat	2	1	PHUK, PSAL, TOR	1115	20816	Whenever this creature attacks or blocks, any player may exile a card from their graveyard. If a player does, this creature assigns no combat damage this turn.
Boneshard Slasher	{1}{B}	2	B	Creature — Horror	Horror	1	1	TOR	1170	27763	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature becomes the target of a spell or ability, sacrifice it."
Boneshard Slasher	{1}{B}	2	B	Creature — Horror	Horror	1	1	TOR	1170	27763	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature becomes the target of a spell or ability, sacrifice it."
Crypt Creeper	{1}{B}	2	B	Creature — Zombie	Zombie	2	1	AVR, ODY	1131	24722	Sacrifice this creature: Exile target card from a graveyard.
Crypt Creeper	{1}{B}	2	B	Creature — Zombie	Zombie	2	1	AVR, ODY	1131	24722	Sacrifice this creature: Exile target card from a graveyard.
Crypt Creeper	{1}{B}	2	B	Creature — Zombie	Zombie	2	1	AVR, ODY	1131	24722	Sacrifice this creature: Exile target card from a graveyard.
Mesmeric Fiend	{1}{B}	2	B	Creature — Nightmare Horror	Nightmare, Horror	1	1	A25, DDK, PLST, TOR, VMA	1326	19757	When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. / When this creature leaves the battlefield, return the exiled card to its owner's hand.
Mesmeric Fiend	{1}{B}	2	B	Creature — Nightmare Horror	Nightmare, Horror	1	1	A25, DDK, PLST, TOR, VMA	1326	19757	When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. / When this creature leaves the battlefield, return the exiled card to its owner's hand.
Mesmeric Fiend	{1}{B}	2	B	Creature — Nightmare Horror	Nightmare, Horror	1	1	A25, DDK, PLST, TOR, VMA	1326	19757	When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. / When this creature leaves the battlefield, return the exiled card to its owner's hand.
Nantuko Shade	{B}{B}	2	B	Creature — Insect Shade	Insect, Shade	2	1	C14, DMR, M11, TOR	1189	21012	{B}: This creature gets +1/+1 until end of turn.
Organ Grinder	{2}{B}	3	B	Creature — Zombie	Zombie	3	1	TOR	1190	29236	{T}, Exile three cards from your graveyard: Target player loses 3 life.
Organ Grinder	{2}{B}	3	B	Creature — Zombie	Zombie	3	1	TOR	1190	29236	{T}, Exile three cards from your graveyard: Target player loses 3 life.
Organ Grinder	{2}{B}	3	B	Creature — Zombie	Zombie	3	1	TOR	1190	29236	{T}, Exile three cards from your graveyard: Target player loses 3 life.
Treacherous Werewolf	{2}{B}	3	B	Creature — Werewolf Minion	Werewolf, Minion	2	2	JUD, PLST	1143	30386	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 4 life."
Treacherous Werewolf	{2}{B}	3	B	Creature — Werewolf Minion	Werewolf, Minion	2	2	JUD, PLST	1143	30386	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 4 life."
Treacherous Werewolf	{2}{B}	3	B	Creature — Werewolf Minion	Werewolf, Minion	2	2	JUD, PLST	1143	30386	Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature dies, you lose 4 life."
Braids, Cabal Minion	{2}{B}{B}	4	B	Legendary Creature — Human Minion	Human, Minion	2	2	EMA, MH2, ODY	1257	5344	At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land of their choice.
Cabal Surgeon	{2}{B}{B}	4	B	Creature — Human Minion	Human, Minion	2	1	TOR	1083	28886	{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.
Cabal Surgeon	{2}{B}{B}	4	B	Creature — Human Minion	Human, Minion	2	1	TOR	1083	28886	{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.
Cabal Surgeon	{2}{B}{B}	4	B	Creature — Human Minion	Human, Minion	2	1	TOR	1083	28886	{2}{B}{B}, {T}, Exile two cards from your graveyard: Return target creature card from your graveyard to your hand.
Childhood Horror	{3}{B}	4	B	Creature — Horror	Horror	2	2	ODY	1110	28341	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and can't block.
Childhood Horror	{3}{B}	4	B	Creature — Horror	Horror	2	2	ODY	1110	28341	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and can't block.
Faceless Butcher	{2}{B}{B}	4	B	Creature — Nightmare Horror	Nightmare, Horror	2	3	DMR, PD3, TOR, TSB	1267	16450	When this creature enters, exile another target creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Faceless Butcher	{2}{B}{B}	4	B	Creature — Nightmare Horror	Nightmare, Horror	2	3	DMR, PD3, TOR, TSB	1267	16450	When this creature enters, exile another target creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Faceless Butcher	{2}{B}{B}	4	B	Creature — Nightmare Horror	Nightmare, Horror	2	3	DMR, PD3, TOR, TSB	1267	16450	When this creature enters, exile another target creature. / When this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Gloomdrifter	{3}{B}	4	B	Creature — Zombie Minion	Zombie, Minion	2	2	TOR	1164	26302	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, nonblack creatures get -2/-2 until end of turn."
Gloomdrifter	{3}{B}	4	B	Creature — Zombie Minion	Zombie, Minion	2	2	TOR	1164	26302	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, nonblack creatures get -2/-2 until end of turn."
Gravedigger	{3}{B}	4	B	Creature — Zombie	Zombie	2	2	10E, 6ED, 7ED, 8ED, 9ED, AKH, AKR, BTD, CM2, CMD, DCI, EMA, HOP, J22, J25, M10, M11, M12, M15, M19, M20, ODY, PLST, POR, PS11, PSAL, S99, TMP, TPR	1279	8750	When this creature enters, you may return target creature card from your graveyard to your hand.
Gravedigger	{3}{B}	4	B	Creature — Zombie	Zombie	2	2	10E, 6ED, 7ED, 8ED, 9ED, AKH, AKR, BTD, CM2, CMD, DCI, EMA, HOP, J22, J25, M10, M11, M12, M15, M19, M20, ODY, PLST, POR, PS11, PSAL, S99, TMP, TPR	1279	8750	When this creature enters, you may return target creature card from your graveyard to your hand.
Gravedigger	{3}{B}	4	B	Creature — Zombie	Zombie	2	2	10E, 6ED, 7ED, 8ED, 9ED, AKH, AKR, BTD, CM2, CMD, DCI, EMA, HOP, J22, J25, M10, M11, M12, M15, M19, M20, ODY, PLST, POR, PS11, PSAL, S99, TMP, TPR	1279	8750	When this creature enters, you may return target creature card from your graveyard to your hand.
