Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
"Grim Lavamancer",{R},1,"Creature — Human Wizard",R,"UR-spells / RG mana-sink","Repeatable graveyard-fueled ping; mana sink, stall-breaker",odysseyblock,1334,"","","","","","","1-drop reach pinger; exiles graveyard, light"
"Spark Mage",{R},1,"Creature — Dwarf Wizard",R,"RG beats / dwarves","Aggressive 1-drop that pings on connect",odysseyblock,1154,"","","","","","","Cheap dwarf, chips creatures via combat damage"
"Minotaur Explorer",{1}{R},2,"Creature — Minotaur Scout",R,"BR storm / graveyard","Discard-outlet body; feeds madness/threshold",odysseyblock,1164,"","","","","","","3/3 for 2 if you bin a card; outlet"
"Barbarian Lunatic",{2}{R},3,"Creature — Human Barbarian",R,"RG / sac","Sacrifice outlet + removal",odysseyblock,1094,"","","","","","","Sac for 2 damage; outlet plus removal"
"Dwarven Bloodboiler",{R}{R}{R},3,"Creature — Dwarf",R,"dwarves / RG","Dwarf anthem-tapper; pump to break stalls",odysseyblock,1145,"","","","","","","Taps dwarves for +2/+0; pushes damage through"
"Dwarven Recruiter",{2}{R},3,"Creature — Dwarf",R,dwarves,"Dwarf tutor-stacking ETB",odysseyblock,1114,"","","","","","","Stacks all dwarves on top; tribal glue"
"Pitchstone Wall",{2}{R},3,"Creature — Wall",R,"BR graveyard / control","Defensive discard-outlet; recurs binned card",odysseyblock,1118,"","","","","","","2/5 wall; sac to rebuy a discarded card"
"Bomb Squad",{3}{R},4,"Creature — Dwarf",R,"counters / RG","Fuse-counter removal; slow saboteur clock",odysseyblock,1127,"","","","","","","Fuse counters blow up creatures; proliferate target"
Chainflinger,{3}{R},4,"Creature — Beast",R,"UR-spells / RG sink","Repeatable ping; scales at threshold",odysseyblock,1160,"","","","","","","Tap for 1, 2 at threshold; mana sink"
"Dwarven Driller",{3}{R},4,"Creature — Dwarf",R,"dwarves / prison","Repeatable land-hate / tax body",odysseyblock,1152,"","","","","","","Taps to blow a land or deal 2; grindy"
"Fledgling Dragon",{2}{R}{R},4,"Creature — Dragon",R,"BR graveyard / RG","Threshold flyer; reach + stall-breaker",odysseyblock,1222,"","","","","","","2/2 flyer; 5/5 firebreather at threshold"
"Jeska, Warrior Adept",{2}{R}{R},4,"Legendary Creature — Human Barbarian Warrior",R,"RG / removal","Pinger + first-strike haste beater",odysseyblock,1242,"","","","","","","Taps for 1 anywhere; first strike haste"
"Possessed Barbarian",{2}{R}{R},4,"Creature — Human Barbarian Horror",R,"BR graveyard","Threshold value body; gains removal",odysseyblock,1184,"","","","","","","At threshold becomes black with red-kill ability"
"Dwarven Strike Force",{4}{R},5,"Creature — Dwarf Berserker",R,"BR storm / graveyard","Discard-outlet beater; first strike on demand",odysseyblock,1154,"","","","","","","4/3; bin cards for first strike + haste"
"Frenetic Ogre",{4}{R},5,"Creature — Ogre",R,"BR graveyard / madness","Discard-outlet finisher; pumps off the bin",odysseyblock,1104,"","","","","","","Repeatable random-discard outlet; fuels madness/threshold"
"Savage Firecat",{3}{R}{R},5,"Creature — Elemental Cat",R,"RG mana-sink / counters","Land-tax counter sink; big trampler that decays",odysseyblock,1190,"","","","","","","7/7 trample; sheds a counter per land tapped"
"Kamahl, Pit Fighter",{4}{R}{R},6,"Legendary Creature — Human Barbarian",R,"RG mana-sink","Top-end haste beater + repeatable burn sink",odysseyblock,1201,"","","","","","","6/1 haste; taps for 3 to anything"
Anger,{3}{R},4,"Creature — Incarnation",R,"BR graveyard","Graveyard haste-granter; discard target",odysseyblock,1274,"","","","","","","Bin it (Mountain out) for team haste"
"Balthor the Stout",{1}{R}{R},3,"Legendary Creature — Dwarf Barbarian",R,"dwarves / barbarians","Barbarian/Dwarf lord; tribal payoff",odysseyblock,1144,"","","","","","","Barbarian anthem + firebreathing pump on tribe"
"Mine Layer",{3}{R},4,"Creature — Dwarf",R,"prison / counters","Mine-counter land lock; dwarf prison piece",exception,1154,"","","","",Y,"","Exception: ODY-block but absent from curated pool; mine-counter lock"
"Comet Storm",{X}{R}{R},2,Instant,R,"big-red mana sink;burn","Multikicker big-red X mana sink (honest spent payoff)",any-era,1217,"","","","","","","Cast-and-spent X-sink for Braid of Fire's surplus; scales but fragile"
Grapeshot,{1}{R},2,Sorcery,R,adnauseam-storm;storm,"Alt storm kill (R) — 1 damage per prior spell to any target",any-era,1356,"","","","","","","R-splash storm finisher; redundant with Tendrils — pick one in singleton final cut"
"Lightning Storm",{1}{R}{R},3,Instant,R,adnauseam-modern-draw-out;combo,"Line B kill (R) — discard drawn lands to scale X, burn opponent out",any-era,1200,"","","","","","","R splash kill after drawing library; charge-counter sink fits counter theme"
"Empty the Warrens",{3}{R},4,Sorcery,R,adnauseam-storm;storm,"Storm payoff making Goblins — board-presence storm, slower/fairer kill",any-era,1230,"","","","","","","Low-power storm: tokens not instant-kill; fits incremental small-games ethos"
"Pyretic Ritual",{1}{R},2,Instant,R,storm,"ritual (storm mana)",any-era,1300,"","","","","","","+1 R; redundant storm accel"
"Seething Song",{2}{R},3,Instant,R,storm,"ritual (storm mana)",any-era,1285,"","","","","","","+2 R burst for storm turns"
"Wheel of Fortune",{2}{R},3,Sorcery,R,storm;wheel,"wheel (premium)",any-era,1314,"","","","","","","Each draws 7; ELO 1315 ok—fragile sorcery, no engine"
"Reforge the Soul",{3}{R}{R},5,Sorcery,R,wheel,"wheel + miracle",any-era,1299,"","","","","","","Wheel; miracle off topdeck. Symmetric refuel"
"Faithless Looting",{R},1,Sorcery,R,gy-storm,"discard outlet + flashback",any-era,1395,"","","","","","","Cheap loot, flashback = 2 discards; storm/GY enabler"
"Burning Inquiry",{R},1,Sorcery,R,gy-storm;madness,"symmetric random discard outlet",any-era,1256,"","","","","","","1-mana fill GY for both; chaos enabler"
"Cathartic Reunion",{1}{R},2,Sorcery,R,gy-storm,"discard outlet (bulk)",any-era,1329,"","","","","","","Discard 2 draw 3; big GY/threshold filler"
"Change of Fortune",{3}{R},4,Sorcery,R,gy-storm;wheel,"discard-then-draw payoff",any-era,1227,"","","","","","","Empties hand then draws per discard; hellbent refuel"
"Goblin Bomb",{1}{R},2,Enchantment,R,"alt-win;coin-flip;fuse counters;proliferate","Coin-flip fuse near-win (5 fuse → 20 dmg); flip + counter payoff",any-era,1105,"","","","","","","Flip-fueled 20-damage kill; proliferate or Krark's Thumb accelerate fuses"
"Game of Chaos",{R}{R}{R},3,Sorcery,R,coin-flip;life-swing,"Coin-flip doubling life swing (push-your-luck)",any-era,1152,"","","","","","","Escalating flip duel; many flips for Chance Encounter; classic chaos"
"Fiery Gambit",{2}{R},3,Sorcery,R,"burn;card advantage;coin-flip","Coin-flip escalating payoff (flip until lose; tiered rewards)",any-era,1062,"","","","","","","Pure flip lottery; huge upside with Krark's Thumb; decision-rich push-your-luck"
"Mana Clash",{R},1,Sorcery,R,burn;coin-flip,"Coin-flip burn (repeat-flip damage); cheap flip generator",any-era,1135,"","","","","","","Many flips per cast = lots of Chance Encounter luck counters; swingy but low power"
