Name,Cost,Type,Color,cube_elo,Pool,Reason
"Ancient Tomb","","","","",candidate,"Too strong (elo 1583) fast mana; off low-power philosophy"
Aquamoeba,"","","","",candidate,"Prompt-named but blue and not in curated creature pool"
"Assemble the Legion","","","","",candidate,"Board-camping snowball token engine; too_strong"
Bearscape,"","","","",candidate,"Graveyard token engine; mild board-camping value"
"Beast Attack","","","","",candidate,"GGG-heavy token instant; Call/Elephant Ambush cover slot"
"Bottled Cloister",{4},Artifact,"",1192,candidate,"Hand-hiding for Bridge; redundant with wheel package and slow"
"City of Brass","","","","",candidate,"Too-efficient 5c fixing (elo 1426); want low-power fixing"
Cloudpost,"","","","",candidate,"Locus ramp engine; explosive, off low-power"
"Containment Construct",{2},"Artifact Creature — Construct","",1244,candidate,"Artifact-creature discard-recursion; creature pool reserved, not named"
"Corpsejack Menace","","","","",candidate,"Non-pool creature (BG); hard-rule violation"
"Crosis's Catacombs","","","","",candidate,"Lair UBR trifixer; clunky bounce; alternate"
"Crush of Wurms","","","","",candidate,"Triple 6/6 bomb; too swingy for low-power cube"
"Crystal Quarry","","","","",candidate,"5c rainbow battery; clunky, redundant with storage"
"Dakmor Salvage","",Land,"",1194,candidate,"Dredge self-mill land; left to B worksheet to avoid singleton dup"
"Darigaaz's Caldera","","","","",candidate,"Lair BRG trifixer; clunky bounce; alternate"
"Death Frenzy","","","","",candidate,"Third BG sweeper; redundant with Pernicious Deed"
"Debtors' Knell","","","","",candidate,"Board-camping reanimator value engine; too_strong"
"Deep Reconnaissance","","","","",candidate,"Flashback ramp; redundant with current ramp suite"
Desert,"","","","",candidate,"Minor pinger land; low impact, off-theme"
"Dralnu's Crusade","","","","",candidate,"Narrow BR Goblin lord; weak without goblin density"
"Drifting Meadow","","","","",candidate,"{2}-cycling Urza land; worse than ONS cyclers"
"Dromar's Cavern","","","","",candidate,"Lair bounce-land trifixer; clunky, splash worse than filters"
"Elephant Guide","","","","",candidate,"Aura 2-for-1; trimmed for token-spell density"
"Epic Struggle","","","","",candidate,"Win at 20 creatures unrealistic in singleton; Helix covers alt-win"
"Faerie Conclave","","","","",candidate,"Efficient evasive manland; ends stalls wrong way"
"Far Wanderings","","","","",candidate,"Threshold ramp; enough ramp already included"
"Fervent Charge","","","","",candidate,"Three-color (WBR); off the two-color guild map"
"Forbidding Watchtower","","","","",candidate,"Defensive manland; Nantuko Monastery covers slot"
"Gemstone Mine","","","","",candidate,"Efficient 3-use any-color fixing; power creep"
"Ghitu Encampment","","","","",candidate,"First-strike manland beater; off-philosophy"
"Glory of Warfare alternatives - Outlaws' Merriment","","","","",candidate,"WR token engine; board-camping value, too_strong"
"Ground Seal","","","","",candidate,"Anti-graveyard cantrip; Krosan Reclamation covers GY hate"
"Hall of Heliod's Generosity","","Legendary Land","",1168,candidate,"Enchantment recursion land; better in UW-enchantments worksheet"
"Hickory Woodlot","","","","",candidate,"Depletion burst ramp; off-philosophy"
"Holistic Wisdom","","","","",candidate,"Recursion value engine; board-camping, off philosophy"
"Kor Haven","","","","",candidate,"Repeatable fog; redundant pillowfort"
"Krosan Restorer","","","","",candidate,"Untap-land ramp dork; ramp suite already full"
"Krosan Tusker","","","","",candidate,"Cycling fatty; fine but cut for count"
"Living Wish","","","","",candidate,"Cube has no outside-the-game zone; non-functional"
"Lotus Vale","","","","",candidate,"Burst 3-mana ramp; off low-power philosophy"
"Maze of Ith","","","","",candidate,"Hard fog wall; Glacial Chasm chosen as pillowfort rep"
"Mishra's Factory","","","","",candidate,"Colorless beater manland; too strong"
"Mishra's Workshop","","","","",candidate,"Too strong artifact fast-mana; off-philosophy"
"Opening / Open the Vaults","","","","",candidate,"Symmetric Replenish downside; Replenish + Starfield already cover it"
Overrun,"","","","",candidate,"Swingy alpha-strike finisher; against no-swingy-bombs spec"
"Parallax Inhibitor",{2},Artifact,"",1165,candidate,"Niche fade-refueler; blank without heavy Parallax build, needs errata"
"Peat Bog","","","","",candidate,"Depletion burst ramp; off-philosophy"
"Polluted Mire","",Land,"",1192,candidate,"{2}-cycling Urza land; ONS {1} Barren Moor preferred"
"Possessed Centaur slot / Wayward kept","","","","",candidate,"Other 'is black' horrors redundant; one stall-breaker is enough"
"Powerstone Minefield","","","","",candidate,"Pure WR deterrent; less build-around than Goblin Trenches"
"Pyrrhic Revival","","","","",candidate,"Symmetric mass-reanimate; too swingy for the slot"
"Quicksilver Fountain",{3},Artifact,"",1127,candidate,"Islands-lock/High-Tide prison engine; belongs to U Islands theme"
"Reflecting Pool","","","","",candidate,"Premium any-color fixing; too smooth for grind cube"
"Remote Isle","","","","",candidate,"{2}-cycling Urza land; worse than ONS cyclers"
"Rishadan Port","","","","",candidate,"Land-tax lock; too oppressive/controlling"
"Rith's Grove","","","","",candidate,"Lair RGW trifixer; clunky bounce; alternate"
"Sandstone Bridge","","","","",candidate,"Minor ETB pump tapland; low impact"
"Sandstone Needle","","","","",candidate,"Depletion burst ramp; off-philosophy"
"Saprazzan Skerry","","","","",candidate,"Depletion burst ramp; off low-power philosophy"
