display_name	mana_cost	mv	colors	type	power	toughness	keywords	printings	cube_elo	edhrec_rank	text
Proteus Machine	{3}	3		Artifact Creature — Shapeshifter	2	2	Morph	SCG	1160.31675326443	16801	Morph {0} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) / When this creature is turned face up, it becomes the creature type of your choice. (This effect lasts indefinitely.)
Junk Golem	{4}	4		Artifact Creature — Golem	0	0		ODY	1137.33635106568	29145	This creature enters with three +1/+1 counters on it. / At the beginning of your upkeep, sacrifice this creature unless you remove a +1/+1 counter from it. / {1}, Discard a card: Put a +1/+1 counter on this creature.
Otarian Juggernaut	{4}	4		Artifact Creature — Juggernaut	2	3	Threshold	ODY	1161.74979681808	28548	This creature can't be blocked by Walls. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +3/+0 and attacks each combat if able.
Limestone Golem	{6}	6		Artifact Creature — Golem	3	4		ODY	1076.10162570752	29977	{2}, Sacrifice this creature: Target player draws a card.
Tribal Golem	{6}	6		Artifact Creature — Golem	4	4		ONS	1109.95017548153	30865	This creature has trample as long as you control a Beast, haste as long as you control a Goblin, first strike as long as you control a Soldier, flying as long as you control a Wizard, and "{B}: Regenerate this creature" as long as you control a Zombie.
Accursed Centaur	{B}	1	B	Creature — Zombie Centaur	2	2		ONS	1058.61247999126	22752	When this creature enters, sacrifice a creature.
Blood Celebrant	{B}	1	B	Creature — Human Cleric	1	1		LGN	1225.00433341352	5729	{B}, Pay 1 life: Add one mana of any color.
Cabal Trainee	{B}	1	B	Creature — Human Minion	1	1		JUD	1201.48427530895	27713	Sacrifice this creature: Target creature gets -2/-0 until end of turn.
Entrails Feaster	{B}	1	B	Creature — Zombie Cat	1	1		ONS	1168.25621559749	23021	At the beginning of your upkeep, you may exile a creature card from a graveyard. If you do, put a +1/+1 counter on this creature. If you don't, tap this creature.
Zombie Cannibal	{B}	1	B	Creature — Zombie	1	1		ODY	1130.01685058208	25329	Whenever this creature deals combat damage to a player, you may exile target card from that player's graveyard.
Bloodcurdler	{1}{B}	2	B	Creature — Horror	1	1	Flying, Mill, Threshold	ODY	1166.26908893186	26247	Flying / At the beginning of your upkeep, mill a card. / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has "At the beginning of your end step, exile two cards from your graveyard."
Boneknitter	{1}{B}	2	B	Creature — Zombie Cleric	1	1	Morph	ONS	1137.49790285073	20099	{1}{B}: Regenerate target Zombie. / Morph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Boneshard Slasher	{1}{B}	2	B	Creature — Horror	1	1	Flying, Threshold	TOR	1170.15053685008	27763	Flying / Threshold — As long as there are seven or more cards in your graveyard, this creature gets +2/+2 and has "When this creature becomes the target of a spell or ability, sacrifice it."
Cabal Inquisitor	{1}{B}	2	B	Creature — Human Minion	1	1	Threshold	ODY	1131.87362583225	29000	Threshold — {1}{B}, {T}, Exile two cards from your graveyard: Target player discards a card. Activate only as a sorcery and only if there are seven or more cards in your graveyard.
