Name,Cost,MV,Type,Color,Worksheet,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
Mystic Penitent,{W},1,Creature — Human Nomad Mystic,W,W,threshold;aggro,threshold-flier,odysseyblock,1130,,,,,,,1-drop; becomes 2/2 vig flier at threshold
Suntail Hawk,{W},1,Creature — Bird,W,W,WX-birds,flier,odysseyblock,1159,,,,,,,1-drop flier; cheapest Aerie/flier enabler
Beloved Chaplain,{1}{W},2,Creature — Human Cleric,W,W,auras;clerics;evasion,tax-evasion,odysseyblock,1237,,,,,,,Unblockable-by-creatures aura/equipment carrier
Mystic Familiar,{1}{W},2,Creature — Bird,W,W,WX-birds;threshold,flier,odysseyblock,1066,,,,,,,Flier; threshold to 2/3 pro-black
Mystic Visionary,{1}{W},2,Creature — Human Nomad Mystic,W,W,threshold,threshold-flier,odysseyblock,1121,,,,,,,2/1 that flies at threshold; stall-breaker
Patrol Hound,{1}{W},2,Creature — Dog,W,W,discard;graveyard,discard-outlet,odysseyblock,1170,,,,,,,Free discard outlet; feeds threshold/madness
Phantom Nomad,{1}{W},2,Creature — Spirit Nomad,W,W,W-shields;counters,shield-blocker,odysseyblock,1171,,,,,,,"2/2 damage-shield; soaks two hits, counter synergy"
Soulcatcher,{1}{W},2,Creature — Bird Soldier,W,W,WX-birds,payoff,odysseyblock,1152,,,,,,,Grows on any flier death; Aerie partner
Auramancer,{2}{W},3,Creature — Human Wizard,W,W,enchantress;recursion,recursion,odysseyblock,1182,,,,,,,Returns enchantment from GY; feeds Replenish/WU
Lieutenant Kirtar,{1}{W}{W},3,Legendary Creature — Bird Soldier,W,W,WX-birds;control,flier-removal,odysseyblock,1192,,,,,,,Flier; sac to exile an attacker
Master Apothecary,{W}{W}{W},3,Creature — Human Cleric,W,W,clerics;lifegain,prevention,odysseyblock,1085,,,,,,,Tap-Cleric prevention engine; anchors WB shell
Mesa Enchantress,{1}{W}{W},3,Enchantment,W,W,enchantress,draw-engine,any-era,1218,,,,,,,Enchantress draw engine; no in-block equivalent
Militant Monk,{1}{W}{W},3,Creature — Human Monk Cleric,W,W,clerics,prevention,odysseyblock,1137,,,,,,,Vigilant Cleric; repeatable 1-damage prevention
Nomad Decoy,{2}{W},3,Creature — Human Nomad,W,W,control;tappers,tapper,odysseyblock,1111,,,,,,,Budget tapper; threshold taps two; Opposition-feel
"Pianna, Nomad Captain",{1}{W}{W},3,Legendary Creature — Human Nomad,W,W,go-wide,go-wide-anthem,odysseyblock,1203,,,,,,,Attack anthem; +1/+1 to attackers each swing
Vigilant Sentry,{1}{W}{W},3,Creature — Human Nomad,W,W,threshold;combat,threshold-pump,odysseyblock,1046,,,,,,,Threshold combat-trick engine; breaks stalls
Battlewise Aven,{3}{W},4,Creature — Bird Soldier,W,W,WX-birds;threshold,threshold-flier,odysseyblock,1077,,,,,,,Flier; threshold to 3/3 first strike
