Name,Cost,MV,Type,Color,Archetype,Role,Source,cube_elo,does_nothing_alone,colorshift,too_strong,errata_needed,oob_exception,errata_proposal,comment
Opposition,{2}{U}{U},4,Enchantment,Multi,"GW Selesnya","Colorshift>G/W: tap-down lock fed by a wide creature board",any-era,1369,"",G/W,"","","","","Locked colorshift; tap creatures to lock permanents"
"Tangle Wire",{3},3,Artifact,Multi,"UG Simic","Colorshift>U/G: fading soft-lock; fade counters proliferate target",any-era,1358,"",U/G,"","","","","Locked colorshift; fade counters love proliferate"
Smokestack,{4},4,Artifact,Multi,"BG Golgari","Colorshift>B/G: symmetric sacrifice engine on soot counters",any-era,1271,"",B/G,"","","","","Locked colorshift; soot-counter sacrifice lock"
"Ensnaring Bridge",{3},3,Artifact,Multi,"BR Rakdos","Colorshift>B/R: hellbent prison shutting off attackers",any-era,1294,"",B/R,"","","","","Locked colorshift; empty hand to lock attacks"
Opalescence,{2}{W}{W},4,Enchantment,Multi,"WU Azorius","Colorshift>U/W: animates enchantments; half of Opalescence+Humility lock",any-era,1313,"",U/W,"","","","","Locked colorshift; enchantment animation engine"
"Shadowmage Infiltrator",{1}{U}{B},3,"Creature - Human Wizard",Multi,"UB Dimir","Evasive card-draw engine for control-combo",odysseyblock,1270,"","","","","","","Pool gold creature; fear + draw on hit"
"Vampiric Dragon",{6}{B}{R},8,"Creature - Vampire Dragon",Multi,"BR Rakdos","Top-end pinger that breaks ground stalls",odysseyblock,1099,"","","","","","","Pool gold creature; flyer pings + grows"
"Phantom Nishoba",{5}{G}{W},7,"Creature - Cat Beast Spirit",Multi,"GW Selesnya","Counter-based lifegain wall that breaks stalls",odysseyblock,1263,"","","","","","","Pool gold creature; trample + counter shields"
"Iridescent Angel",{5}{W}{U},7,"Creature - Angel",Multi,"WU Azorius","Pro-all-colors evasive finisher for pillowfort",odysseyblock,1174,"","","","","","","Pool gold creature; flying pro-all-colors"
"Enchanted Evening",{3}{W/U}{W/U},5,Enchantment,Multi,"WU Azorius","All permanents become enchantments; enables Opalescence/Replenish sweep",any-era,1127,"","","",Y,"","ETB also mill top 3 and return an enchantment card to hand","Errata adds ETB mill + enchant return"
"Teferi's Moat",{3}{W}{U},5,Enchantment,Multi,"WU Azorius","Color-locked ground stax pillowfort",any-era,1276,"","","","","","","On-color pillowfort; locks chosen color"
Dovescape,{3}{W/U}{W/U}{W/U},6,Enchantment,Multi,"WU Azorius","Noncreature-spell soft-lock making symmetric 1/1 bird wall",any-era,1165,"","","","","","","Soft-lock; spells become 1/1 birds"
"Azor's Elocutors",{3}{W/U}{W/U},5,"Creature - Human Advisor",Multi,"WU Azorius","Filibuster alt-win: 5 counters = win, resets on damage",exception,1174,"","","","",Y,"","Exception: WU filibuster alt-win; not in pool"
"Glimpse the Unthinkable",{U}{B},2,Sorcery,Multi,"UB Dimir","Big mill payoff for deck-out plan",any-era,1248,"","","","","","","Kept over Mind Funeral; cleanest mill 10"
"Phyrexian Tyranny",{U}{B}{R},3,Enchantment,Multi,"UB Dimir","Colorshift>U/B: each draw costs opp 2 life unless they pay 2",any-era,1043,"",U/B,"","","","","Colorshift U/B; symmetric draw-tax punisher"
"Soul Manipulation",{1}{U}{B},3,Instant,Multi,"UB Dimir","Modal counter-creature / regrow-creature for control-combo",any-era,"","","","","","","","Honest Dimir interaction; counter or regrow"
"Spiteful Visions",{2}{B/R}{B/R},4,Enchantment,Multi,"BR Rakdos","Symmetric extra-draw + 1 dmg per draw; wheel becomes clock",any-era,1247,"","","","","","","Turns wheel into a clock; symmetric"
"Rain of Gore",{B}{R},2,Enchantment,Multi,"BR Rakdos","Symmetric anti-lifegain: lifegain becomes lifeloss",any-era,1125,"","","","","","","Life-resource hate; lifegain becomes loss"
"Squandered Resources",{B}{G},2,Enchantment,Multi,"BG Golgari","Burst-mana sink: sac lands for big X / combo turns",any-era,1254,"","","","","","","Sac lands for burst mana sink"
"Pernicious Deed",{1}{B}{G},3,Enchantment,Multi,"BG Golgari","Sac-and-spent symmetric reset, destroy permanents mv<=X",any-era,"","","","","","","","Honest reset; sacked, not a value engine"
Stormbind,{1}{R}{G},3,Enchantment,Multi,"RG Gruul","Repeatable mana+card sink: 2, discard random -> 2 dmg",any-era,"","","","","","","","Gruul mana/graveyard sink; hellbent fuel"
"Aether Rift",{1}{R}{G},3,Enchantment,Multi,"RG Gruul","Random upkeep discard -> reanimate unless opp pays 5",any-era,"","","","","","","","Hellbent reanimator; random-discard upkeep"
"Sterling Grove",{G}{W},2,Enchantment,Multi,"GW Selesnya","Enchantment toolbox tutor + shroud protection for the shell",any-era,1252,"","","","","","","Enchantress glue; tutor + shroud"
"Glittering Wish",{G}{W},2,Sorcery,Multi,"GW Selesnya","Gold toolbox: fetch a multicolor card from sideboard",any-era,"","","","","","","","Toolbox for gold-heavy cube; fetch multicolor"
"Final Payment",{W}{B},2,Instant,Multi,"WB Orzhov","Pay 5 life (or sac) to destroy a creature: life-as-resource removal",any-era,1138,"","","","","","","Life-as-resource removal; cheap WB interaction"
"Death Grasp",{X}{W}{B},2,Sorcery,Multi,"WB Orzhov","X damage + gain X: life-as-resource finisher",any-era,"","","","","","","","X dmg plus gain X; Orzhov finisher"
"Fevered Visions",{1}{U}{R},3,Enchantment,Multi,"UR Izzet","Self-contained wheel-punisher: draw EOT, opp takes 2 if 4+ cards",any-era,1156,"","","","","","","Wheel-punisher; symmetric draw plus burn"
"Stitch in Time",{1}{U}{R},3,Sorcery,Multi,"UR Izzet","Coin-flip extra turn (Izzet flip payoff)",any-era,1192,"","","","","","","Coin-flip extra turn; flip payoff"
"Epic Experiment",{X}{U}{R},2,Sorcery,Multi,"UR Izzet","Cast-and-spent free-spell payoff off the top X",any-era,"","","","","","","","Honest spells payoff; one-shot, fully spent"
"Goblin Trenches",{1}{R}{W},3,Enchantment,Multi,"WR Boros","Sac-land token sink: 2, sac land -> two 1/1 tokens",any-era,"","","","","","","","Mana-sink token flood; feeds Opposition/grind"
"Glory of Warfare",{2}{R}{W},4,Enchantment,Multi,"WR Boros","Asymmetric anthem: +2/0 your turn, +0/2 otherwise",any-era,"","","","","","","","Boros token-grind anthem; offense and defense"
"Simic Ascendancy",{G}{U},2,Enchantment,Multi,"UG Simic","Counter alt-win: 20 growth counters = win; +1/+1 payoff",any-era,1169,"","","","","","","Counter alt-win; 20 growth = win"
